characters,pinyin,part_of_speech,english,lesson
分,fēn,m,"(measure word for 1/100 of a kuai, cent)",9
粉红色,fěnhóngsè,n,pink,9
封,fēng,m,(measure word for letters),8
付钱,fùqián,vo,to pay money,9
父亲节,fùqīnjié,pn,Father's Day,3
复习,fùxí,v,toreview,7
感恩节,gǎnēnjié,pn,Thanksgiving,3
钢笔,gāngbǐ,n,fountain pen,7
高速公路,gāosùgōnglù,n,highway,10
高文中,gāowénzhōng,pn,(a personal name),2
高小音,gāoxiǎoyīn,pn,(a personal name),2
高兴,gāoxìng,adj,"happy, pleased",5
告诉,gàosù,v,to tell,8
哥哥,gēgē,n,older brother,2
个,gè,m,(a measure word for many common everyday objects),2
给,gěi,v,to give,5
给,gěi,prep,to; for,6
跟,gēn,prep,with,6
公共汽车,gōnggòngqìchē,n,bus,10
工程师,gōngchéngshī,n,engineer,2
工人,gōngrén,n,worker,2
工商管理,gōngshāngguǎnlǐ,n,business management,8
工作,gōngzuò,n/v,job; to work,2
功课,gōngkè,n,homework; schoolwork,7
逛街,guàngjiē,vo,to windowshop,4
贵,guì,adj,honorable; expensive,1
果汁,guǒzhī,n,fruit juice,5
还,hái,adv,also; too; as well,3
还是,háishì,conj,or,3
孩子,háizi,n,child,2
韩国,hánguó,pn,South Korea,1
韩文,hánwén,pn,the Korean language,6
寒假,hánjià,n,winter vacation,10
汉字,hànzì,n,Chinese characters,7
好,hǎo,adj,fine; good; nice; O.K.; it's settled,1
好久,hǎojiǔ,n,a long time,4
号,hào,m,(measure word for number in a series; day of the month),3
号,hào,n,size,9
喝,hē,v,to drink,5
和,hé,conj,and,2
合适,héshì,adj,suitable,9
黑,hēi,adj,black,9
很,hěn,adv,very,3
红,hóng,adj,red,6
后来,hòulái,t,later,8
护士,hùshì,n,nurse,2
花,huā,v,to spend,10
画画儿,huàhuàér,vo,to draw; to paint,4
化学,huàxué,n,chemistry,8
换,huàn,v,to exchange; to change,9
黄,huáng,adj,yellow,6
灰色,huīsè,n,gray,9
回家,huíjiā,vo,to go home,5
回来,huílái,vc,to come back,6
会,huì,mv,can; know how to,8
或者,huòzhě,conj,or,10
几,jǐ,nu,how many; some; a few,2
家,jiā,n,family; home,7
加拿大,jiānádà,pn,Canada,1
加州,jiāzhōu,pn,California,1
夹克,jiákè,n,jacket,9
件,jiàn,m,"(measure word for shirts, dresses, jackets, coats, etc.)",9
见,jiàn,v,tosee,3
见面,jiànmiàn,vo,to meet up; to meet with,6
教,jiào,v,to teach,7
教室,jiàoshì,n,classroom,8
教授,jiàoshòu,n,professor,2
叫,jiào,v,to be called; to call,1
姐姐,jiějiě,n,older sister,2
介绍,jièshào,v,to introduce,5
今年,jīnnián,t,this year,3
今天,jīntiān,t,today,3
紧张,jǐnzhāng,adj,"nervous,anxious",10
进,jìn,v,to enter,5
进来,jìnlái,vc,to come in,5
经济,jīngjì,n,economics,8
经理,jīnglǐ,n,manager,2
九月,jiǔyuè,n,September,3
就,jiù,adv,precisely; exactly,6
橘红色,júhóngsè,n,orange (color),6
觉得,juéde,v,to feel; to think,4
军人,jūnrén,n,soldier; military officer,2
咖啡,kāfēi,n,coffee,5
咖啡色,kāfēisè,n,brown; coffee color,9
开车,kāichē,vo,to drive a car,10
开会,kāihuì,vo,to have a meeting,6
开始,kāishǐ,v/n,"to begin, to start; beginning",7
看,kàn,v,to watch; to look; to read,4
考试,kǎoshì,vo/n,to give or take a test; test,6
可口可乐,kěkǒukělè,pn,Coca-Cola,5
可乐,kělè,n,[Coke or Pepsi] cola,5
可是,kěshì,conj,but,3
可以,kěyǐ,mv,can;may,5
刻,kè,m,quarter (of an hour),3
课,kè,n,class; course; lesson,6
课本,kèběn,n,textbook,7
课文,kèwén,n,text of a lesson,7
客气,kèqì,adj,polite,6
空(儿),kōng(ér),n,free time,6
口,kǒu,m,(measure word for number of family members),2
酷,kù,adj,cool,7
裤子,kùzi,n,pants,9
快,kuài,adv/adj,"quickly; fast, quick",5
快乐,kuàilè,adj,happy,10
块,kuài,m,(measure word for the basic Chinese monetary unit),9
矿泉水,kuàngquánshuǐ,n,mineral water,5
拉丁文,lādīngwén,pn,the Latin language,6
来,lái,v,to come,5
蓝,lán,adj,blue,10
老师,lǎoshī,n,teacher,1
了,le,p,(a dynamic particle),5
累,lèi,adj,tired,8
李友,lǐyǒu,pn,(a personal name),1
历史,lìshǐ,n,history,8
练习,liànxí,v,to practice,6
练习本,liànxíběn,n,exercise book,7
两,liǎng,nu,two; a couple of,2
聊天(儿),liáotiān(ér),vo,to chat,5
录音,lùyīn,n/vo,sound recording; to record,7
律师,lǜshī,n,lawyer,2
妈妈,māmā,n,"mother, mom",2
吗,ma,qp,(question particle),1
麻烦,máfán,adj,troublesome,10
买,mǎi,v,to buy,9
慢,màn,adj,slow,7
忙,máng,adj,busy,3
毛,máo,m,"(measure word for 1/10 of a kuai, dime (for US money))",9
毛笔,máobǐ,n,writing brush,7
毛衣,máoyī,n,woolen sweater,9
帽子,màozi,n,hat; cap,9
没,méi,adv,not,2
每,měi,pr,every; each,10
美国,měiguó,pn,America,1
妹妹,mèimèi,n,younger sister,2
明天,míngtiān,t,tomorrow,3
名字,míngzì,n,name,1
墨西哥,mòxīgē,pn,Mexico,1
母亲节,mǔqīnjié,pn,Mother's Day,3
哪,nǎ,qpr,which,6
哪里,nǎlǐ,pr,where,7
那,nà,pr,that,2
那,nà,conj,in that case; then,4
那儿,nàér,pr,there,8
男,nán,adj,male,2
难,nán,adj,difficult,7
呢,ne,qpr,(question particle),1
能,néng,mv,can; to be able to,8
你,nǐ,pr,you,1
年级,niánjí,n,grade in school,6
念,niàn,v,to read aloud,7
您,nín,pr,you (honorific for ),6
纽约,niǔyuē,pn,New York,1
农民,nóngmín,n,farmer; peasant,2
女,nǚ,adj,female,2
女儿,nǚér,n,daughter,2
朋友,péngyǒu,n,friend,3
篇,piān,m,"(measure word for essays, articles, etc.)",8
便宜,piányi,adj,cheap; inexpensive,9
票,piào,n,ticket,10
漂亮,piàoliàng,adj,pretty,5
瓶,píng,m/n,(measure word for bottles); bottle,5
平常,píngcháng,adv,usually,7
葡萄牙文,pútáoyáwén,pn,the Portuguese language,6
骑摩托车,qímótuōchē,vo,to ride a motorcycle,10
骑自行车,qízìxíngchē,vo,to ride a bicycle,10
起床,qǐchuáng,vo,to get up,8
汽水(儿),qìshuǐ(ér),n,soft drink; soda pop,5
铅笔,qiānbǐ,n,pencil,7
钱,qián,n,money,9
情人节,qíngrénjié,pn,Valentine's Day,3
请,qǐng,v,please (polite form of request); to treat or to invite (somebody),1
请客,qǐngkè,vo,"to invite someone (to dinner, coffee, etc.); to play the host",4
去,qù,v,to go,4
裙子,qúnzi,n,skirt,9
然后,ránhòu,adv,then,10
让,ràng,v,to allow or cause (somebody to do something),10
人,rén,n,people; person,1
认识,rènshí,v,to be acquainted with; recognize,3
日本,rìběn,pn,Japan,1
日记,rìjì,n,diary,8
日文,rìwén,pn,the Japanese language,6
容易,róngyì,adj,easy,7
如果···的话,rúguǒ···dehuà,conj,if,9
商店,shāngdiàn,n,store; shop,9
商人,shāngrén,n,merchant; businessperson,2
上个,shànggè,,the previous one,7
上海,shànghǎi,pn,Shanghai,1
上课,shàngkè,vo,to go to a class; to start a class; to be in class,7
上网,shàngwǎng,vo,to go online; to surf the internet,8
上午,shàngwǔ,t,morning,6
上衣,shàngyī,n,upper garment,9
谁,shuí,qpr,who,2
什么,shénme,qpr,what,1
生词,shēngcí,n,new words; vocabulary,7
生日,shēngrì,n,birthday,3
十八,shíbā,nu,eighteen,3
十二,shíèr,nu,twelve,3
时候,shíhòu,n,(a point in) time; moment; (a duration of) time,4
时间,shíjiān,n,time,6
试,shì,v,to try,6
是,shì,v,to be,1
事 (儿),shì(ér),n,matter; affair; event,3
收,shōu,v,to receive; to accept,9
手机,shǒujī,n,cell phone,10
售货员,shòuhuòyuán,n,shop assistant; salesclerk,9
牛,niú,n,book,4
书,shū,n,book,4
数学,shùxué,n,mathematics,8
刷卡,shuākǎ,vo,to pay with a credit card,9
帅,shuài,adj,handsome,7
双,shuāng,m,(measure word for a pair),9
水,shuǐ,n,water,5
睡觉,shuìjiào,vo,to sleep,4
说,shuō,v,to say; to speak,6
说话,shuōhuà,vo,to talk,7
送,sòng,v,to see off or out; to take (someone somewhere),10
宿舍,sùshè,n,dormitory,8
算了,suànle,,forget it; never mind,4
虽然,suīrán,conj,although,9
岁,suì,n,year (of age),3
所以,suǒyǐ,conj,SO,4
T恤衫,T-xùshān,n,T-shirt,9
他,tā,pr,he; him,2
她,tā,pr,she; her,2
它,tā,pr,it,9
太...了,tài ...了,,too; extremely,3
特别,tèbié,adv,especially,10
天,tiān,n,day,3
条,tiáo,m,"(measure word for pants and long, thin objects)",9
跳舞,tiàowǔ,vo,to dance,4
听,tīng,v,to listen,4
挺,tǐng,adv,very; rather,9
同学,tóngxué,n,classmate,3
图书馆,túshūguǎn,n,library,5
袜子,wàzi,n,socks,6
外国,wàiguó,n,foreign country,4
外套,wàitào,n,outer garment; coat; jacket,9
玩(儿),wán(ér),v,to have fun; to play,5
玩游戏机,wányóuxìjī,vo,to play videogames,4
晚,wǎn,adj,late,7
晚饭,wǎnfàn,n,dinner; supper,3
晚上,wǎnshàng,t/n,evening; night,3
王朋,wángpéng,pn,(a personal name),2
喂,wèi,interj,(on telephone) Hello!; Hey!,6
位,wèi,m,(polite measure word for people),6
为什么,wèishénme,qpr,why,3
问,wèn,v,to ask (a question),1
问题,wèntí,n,question; problem,6
我,wǒ,pr,I; me,1
我们,wǒmen,pr,we,3
午饭,wǔfàn,n,"lunch, midday meal",8
物理,wùlǐ,n,physics,8
西班牙文,xībānyáwén,pn,the Spanish language,6
西装,xīzhuāng,n,(western-style) suit,9
希腊文,xīlàwén,pn,the Greek language,6
希望,xīwàng,v/n,to hope; hope,8
喜欢,xǐhuān,v,to like,3
洗澡,xǐzǎo,vo,to take a bath/shower,8
下车,xiàchē,vo,"to get off (a bus, train, etc.)",10
下个,xiàgè,,next one,6
下棋,xiàqí,vo,to play chess,4
下午,xiàwǔ,t,afternoon,6
夏威夷,xiàwēiyí,pn,Hawaii,1
先,xiān,adv,first,10
先生,xiānshēng,n,Mr.; husband; teacher,1
线,xiàn,n,line,10
现在,xiànzài,t,now,3
想,xiǎng,mv,to want to; would like to; to think,4
小,xiǎo,adj,small; little,4
小姐,xiǎojiě,n,Miss; young lady,1
笑,xiào,v,to laugh at; to laugh; to smile,8
鞋,xié,n,shoes,9
写,xiě,v,to write,7
谢谢,xièxiè,v,to thank,3
新,xīn,adj,new,8
新年,xīnnián,n,new year,10
信,xìn,n,letter (correspondence),8
信用卡,xìnyòngkǎ,n,credit card,9
星期,xīngqī,n,week,3
星期四,xīngqīsì,n,Thursday,3
行,xíng,v,all right; O.K.,6
姓,xìng,v/n,(one's ) surname is...; to be surnamed; surname,1
学,xué,v,to study; to learn,7
学期,xuéqī,n,school term; semester/quarter,8
学生,xuéshēng,n,student,1
学习,xuéxí,v,to study; to learn,7
学校,xuéxiào,n,school,5
雪碧,xuěbì,pn,Sprite,5
呀,ya,p,(interjectory particle used to soften a question),5
亚洲研究,yàzhōuyánjiū,n,Asian studies,8
颜色,yánsè,n,color,6
样子,yàngzi,n,style,9
要,yào,v,to want,5
要,yào,mv,"will, to be going to; to want to, to have a desire to",6
要是,yàoshì,conj,if,6
也,yě,adv,too; also,1
一边,yībiān,adv,simultaneously; at the same time,8
一共,yīgòng,adv,altogether,9
一起,yìqǐ,adv,together,5
一下,yīxià,n+m,once; a bit,5
一样,yīyàng,adj,same; alike,9
衣服,yīfú,n,clothes,9
医生,yīshēng,n,doctor; physician,2
以后,yǐhòu,t,after,6
以前,yǐqián,t,before,8
已经,yǐjīng,adv,already,8
意大利文,yìdàlìwén,pn,the Italian language,6
因为,yīnwèi,conj,because,3
音乐,yīnyuè,n,music,4
音乐会,yīnyuèhuì,n,concert,8
印度,yìndù,pn,India,1
英国,yīngguó,pn,Britain; England,3
英文,yīngwén,pn,English (language),2
用,yòng,v,to use,8
有,yǒu,v,to have; to exist,2
有的,yǒude,pr,some,4
有意思,yǒuyìsi,adj,interesting,4
语法,yǔfǎ,n,grammar,7
语言学,yǔyánxué,n,linguistics,8
预习,yùxí,v,to preview,7
圆珠笔,yuánzhūbǐ,n,ballpoint pen,7
月,yuè,n,month,3
越南,yuènán,pn,Vietnam,1
在,zài,prep,at; in; on,5
在,zài,v,to be present; to be at (a place),6
再,zài,adv,again,9
再见,zàijiàn,v,goodbye; see you again,3
早,zǎo,adj,early,7
早饭,zǎofàn,n,breakfast,8
早上,zǎoshàng,t,morning,7
怎么,zěnme,qpr,how; how come,7
怎么样,zěnmeyàng,qpr,Is it O.K.? How is that? How does that sound?,3
站,zhàn,m,"(measure word for stops of bus, train, etc.)",
张,zhāng,m,"(measure word for flat objects, paper, pictures, etc.)",7
找,zhǎo,v,to look for,4
找 (钱),zhǎo(qián),v(o),to give change,9
照片,zhàopiān,n,picture; photo,2
这,zhè,pr,this,2
这么,zhème,pr,sO; such,7
这儿,zhèér,pr,here,6
真,zhēn,adv,really,7
正在,zhèngzài,adv,in the middle of (doing something),8
枝,zhī,m,"(measure word for long, thin, inflexible objects, pens, rifles, etc.)",7
知道,zhīdào,v,to know,8
只,zhǐ,adv,only,4
纸,zhǐ,n,paper,7
中,zhōng,adj,medium; middle,9
中国,zhōngguó,pn,China,1
中文,zhōngwén,pn,Chinese (language),6
中午,zhōngwǔ,n,noon,8
种,zhǒng,m,"(measure word for kinds, sorts, types)",9
周末,zhōumò,n,weekend,4
祝,zhù,v,to wish (well),8
专业,zhuānyè,n,major (in college); specialty,8
准备,zhǔnbèi,v,to prepare,6
紫色,zǐsè,n,purple,9
字,zì,n,character,7
字典,zìdiǎn,n,dictionary,7
自己,zìjǐ,pr,oneself,10
走,zǒu,v,to go by way of; to walk,10
走路,zǒulù,vo,to walk,10
最后,zuìhòu,adj,final; last,10
最近,zuìjìn,t,recently,8
昨天,zuótiān,t,yesterday,4
做,zuò,v,to do,2
坐,zuò,v,to sit,5
坐,zuò,v,to travel by,10
坐船,zuòchuán,vo,to travel by ship; to take a boat,10
坐电车,zuòdiànchē,vo,"to take a cable car, trolley bus, or tram",10
坐火车,zuòhuǒchē,vo,to travel by train,10
坐计程车,zuòjìchéngchē,vo,to take a taxi (in Taiwan),10
